[2026-07-10 11:54:31] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 11:54:37] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 11:54:44] INFO     | anomaly_detector |   [sar_disk] 3 SAR anomaly(ies) found
[2026-07-10 11:54:44] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 11:54:44] INFO     | anomaly_detector | Stored 4 SAR anomalies
[2026-07-10 11:54:44] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 4 finding(s)
[2026-07-10 11:54:45] INFO     | anomaly_detector | SAR anomaly detection complete for LTPOL3VLMSDBO02: 0 finding(s)
[2026-07-10 12:26:26] INFO     | anomaly_detector |   [sar_disk] 1 SAR anomaly(ies) found
[2026-07-10 12:26:26] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 12:26:26] INFO     | anomaly_detector | Stored 2 SAR anomalies
[2026-07-10 12:26:26] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 2 finding(s)
[2026-07-10 12:26:39] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:26:53] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:27:08] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:27:26] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:27:41] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:27:56] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:28:15] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:28:34] INFO     | anomaly_detector |   [sar_disk] 2 SAR anomaly(ies) found
[2026-07-10 12:28:35] INFO     | anomaly_detector | Stored 2 SAR anomalies
[2026-07-10 12:28:35] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 2 finding(s)
[2026-07-10 12:28:54] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:29:14] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 0 finding(s)
[2026-07-10 12:29:18] INFO     | anomaly_detector |   [sar_disk] 1 SAR anomaly(ies) found
[2026-07-10 12:29:18] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 12:29:18] INFO     | anomaly_detector | Stored 2 SAR anomalies
[2026-07-10 12:29:18] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 2 finding(s)
[2026-07-10 12:29:33] INFO     | anomaly_detector |   [sar_cpu] 24 SAR anomaly(ies) found
[2026-07-10 12:29:33] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 12:29:34] INFO     | anomaly_detector | Stored 25 SAR anomalies
[2026-07-10 12:29:34] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 25 finding(s)
[2026-07-10 12:29:45] INFO     | anomaly_detector | SAR anomaly detection complete for LTPOL3VLMSDBO02: 0 finding(s)
[2026-07-10 12:29:49] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 12:29:49] INFO     | anomaly_detector | Stored 1 SAR anomalies
[2026-07-10 12:29:49] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 1 finding(s)
[2026-07-10 12:29:58] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
[2026-07-10 12:29:58] INFO     | anomaly_detector | Stored 1 SAR anomalies
[2026-07-10 12:29:58] INFO     | anomaly_detector | SAR anomaly detection complete for TCLFSLPRDDB1: 1 finding(s)
[2026-07-10 12:30:07] INFO     | anomaly_detector |   [sar_disk] 2 SAR anomaly(ies) found
[2026-07-10 12:30:07] INFO     | anomaly_detector |   [sar_mem] 1 SAR anomaly(ies) found
