[2026-07-10 11:52:32] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:52:32] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:52:32] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:53:22] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:53:22] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:53:22] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:53:26] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:53:26] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:53:26] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:53:53] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:53:53] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:53:53] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:54:20] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:54:20] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:54:20] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:54:33] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:54:33] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:54:33] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:55:04] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:55:04] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:55:04] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:55:11] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:55:11] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:55:11] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:55:44] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:55:44] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:55:44] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:56:02] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:56:02] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:56:02] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:56:15] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-10 11:56:15] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-10 11:56:15] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-10 11:56:52] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
