[2026-07-10 11:52:14] INFO     | awr_seg_buff_busy_waits_parser | Found 4 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:52:14] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 4 Segments by Buffer Busy Waits records
[2026-07-10 11:52:14] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 4 rows into awr_seg_buff_busy_waits
[2026-07-10 11:52:59] INFO     | awr_seg_buff_busy_waits_parser | Found 3 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:52:59] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 3 Segments by Buffer Busy Waits records
[2026-07-10 11:52:59] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 3 rows into awr_seg_buff_busy_waits
[2026-07-10 11:53:09] INFO     | awr_seg_buff_busy_waits_parser | Found 4 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:53:09] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 4 Segments by Buffer Busy Waits records
[2026-07-10 11:53:09] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 4 rows into awr_seg_buff_busy_waits
[2026-07-10 11:53:30] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:53:30] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 11:53:30] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 11:54:03] INFO     | awr_seg_buff_busy_waits_parser | Found 4 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:54:03] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 4 Segments by Buffer Busy Waits records
[2026-07-10 11:54:03] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 4 rows into awr_seg_buff_busy_waits
[2026-07-10 11:54:10] INFO     | awr_seg_buff_busy_waits_parser | Found 3 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:54:10] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 3 Segments by Buffer Busy Waits records
[2026-07-10 11:54:10] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 3 rows into awr_seg_buff_busy_waits
[2026-07-10 11:54:41] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:54:41] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 11:54:41] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 11:54:55] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:54:55] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 11:54:55] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 11:55:20] INFO     | awr_seg_buff_busy_waits_parser | Found 3 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:55:20] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 3 Segments by Buffer Busy Waits records
[2026-07-10 11:55:20] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 3 rows into awr_seg_buff_busy_waits
[2026-07-10 11:55:46] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:55:46] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 11:55:46] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 11:55:52] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:55:52] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 11:55:52] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 11:56:32] INFO     | awr_seg_buff_busy_waits_parser | Found 2 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:56:32] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 2 Segments by Buffer Busy Waits records
[2026-07-10 11:56:32] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 2 rows into awr_seg_buff_busy_waits
[2026-07-10 11:56:36] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:56:36] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 11:56:36] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 11:57:07] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:57:07] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 11:57:07] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 11:57:27] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:57:27] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 11:57:27] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 11:57:46] INFO     | awr_seg_buff_busy_waits_parser | Found 2 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:57:46] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 2 Segments by Buffer Busy Waits records
[2026-07-10 11:57:46] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 2 rows into awr_seg_buff_busy_waits
[2026-07-10 11:58:13] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:58:13] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 11:58:13] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 11:58:21] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:58:21] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 11:58:21] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 11:58:58] INFO     | awr_seg_buff_busy_waits_parser | Found 2 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:58:58] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 2 Segments by Buffer Busy Waits records
[2026-07-10 11:58:58] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 2 rows into awr_seg_buff_busy_waits
[2026-07-10 11:59:00] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:59:00] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 11:59:00] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 11:59:35] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:59:35] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 11:59:35] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 11:59:47] INFO     | awr_seg_buff_busy_waits_parser | Found 16 rows in Segments by Buffer Busy Waits section
[2026-07-10 11:59:47] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 16 Segments by Buffer Busy Waits records
[2026-07-10 11:59:47] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 16 rows into awr_seg_buff_busy_waits
[2026-07-10 12:00:11] INFO     | awr_seg_buff_busy_waits_parser | Found 14 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:00:11] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 14 Segments by Buffer Busy Waits records
[2026-07-10 12:00:11] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 14 rows into awr_seg_buff_busy_waits
[2026-07-10 12:00:38] INFO     | awr_seg_buff_busy_waits_parser | Found 16 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:00:38] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 16 Segments by Buffer Busy Waits records
[2026-07-10 12:00:38] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 16 rows into awr_seg_buff_busy_waits
[2026-07-10 12:00:43] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:00:43] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 12:00:43] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 12:01:18] INFO     | awr_seg_buff_busy_waits_parser | Found 14 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:01:18] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 14 Segments by Buffer Busy Waits records
[2026-07-10 12:01:18] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 14 rows into awr_seg_buff_busy_waits
[2026-07-10 12:01:30] INFO     | awr_seg_buff_busy_waits_parser | Found 16 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:01:30] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 16 Segments by Buffer Busy Waits records
[2026-07-10 12:01:30] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 16 rows into awr_seg_buff_busy_waits
[2026-07-10 12:01:50] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:01:50] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 12:01:50] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 12:02:22] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:02:22] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 12:02:22] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 12:02:27] INFO     | awr_seg_buff_busy_waits_parser | Found 14 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:02:27] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 14 Segments by Buffer Busy Waits records
[2026-07-10 12:02:27] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 14 rows into awr_seg_buff_busy_waits
[2026-07-10 12:02:57] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:02:57] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
[2026-07-10 12:02:57] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 5 rows into awr_seg_buff_busy_waits
[2026-07-10 12:03:09] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:03:09] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 12:03:09] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 12:03:37] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:03:37] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 12:03:37] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 12:03:58] INFO     | awr_seg_buff_busy_waits_parser | Found 1 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:03:58] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 1 Segments by Buffer Busy Waits records
[2026-07-10 12:03:58] INFO     | awr_seg_buff_busy_waits_parser | ✅ Inserted 1 rows into awr_seg_buff_busy_waits
[2026-07-10 12:04:06] INFO     | awr_seg_buff_busy_waits_parser | Found 5 rows in Segments by Buffer Busy Waits section
[2026-07-10 12:04:06] INFO     | awr_seg_buff_busy_waits_parser | ✅ Parsed 5 Segments by Buffer Busy Waits records
