[2026-07-10 11:52:15] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:52:15] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:53:01] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:53:01] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:53:10] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:53:10] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:53:33] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 11:53:33] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 11:53:33] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 11:54:04] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:54:04] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:54:12] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:54:12] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:54:43] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 11:54:43] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 11:54:43] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 11:54:56] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:54:56] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:55:22] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:55:22] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:55:47] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:55:47] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:55:54] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 11:55:54] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 11:55:54] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 11:56:34] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:56:34] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:56:37] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:56:37] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:57:09] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 11:57:09] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 11:57:09] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 11:57:28] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:57:28] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:57:48] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:57:48] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:58:15] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:58:15] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:58:23] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 11:58:23] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 11:58:23] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 11:59:00] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:59:00] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:59:01] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-10 11:59:01] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-10 11:59:37] INFO     | awr_seg_cr_blk_rec_parser | Found 5 rows in Segments by CR Blocks Received section
[2026-07-10 11:59:37] INFO     | awr_seg_cr_blk_rec_parser | ✅ Parsed 5 Segments by CR Blocks Received records
[2026-07-10 11:59:37] INFO     | awr_seg_cr_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cr_blk_rec
[2026-07-10 11:59:49] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
