[2026-07-10 11:52:17] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:52:17] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-10 11:53:03] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:53:03] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-10 11:53:12] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:53:12] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-10 11:53:35] INFO     | awr_seg_cur_blk_rec_parser | Found 5 rows in Segments by Current Blocks Received section
[2026-07-10 11:53:35] INFO     | awr_seg_cur_blk_rec_parser | ✅ Parsed 5 Segments by Current Blocks Received records
[2026-07-10 11:53:35] INFO     | awr_seg_cur_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cur_blk_rec
[2026-07-10 11:54:06] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:54:06] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-10 11:54:14] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:54:14] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-10 11:54:45] INFO     | awr_seg_cur_blk_rec_parser | Found 5 rows in Segments by Current Blocks Received section
[2026-07-10 11:54:45] INFO     | awr_seg_cur_blk_rec_parser | ✅ Parsed 5 Segments by Current Blocks Received records
[2026-07-10 11:54:45] INFO     | awr_seg_cur_blk_rec_parser | ✅ Inserted 5 rows into awr_seg_cur_blk_rec
[2026-07-10 11:54:58] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:54:58] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-10 11:55:25] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-10 11:55:25] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
