[2026-07-10 11:52:19] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:52:19] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
[2026-07-10 11:52:19] INFO     | awr_seg_db_blk_chg_parser | ✅ Inserted 5 rows into awr_seg_db_blk_chg
[2026-07-10 11:53:06] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:53:06] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
[2026-07-10 11:53:06] INFO     | awr_seg_db_blk_chg_parser | ✅ Inserted 5 rows into awr_seg_db_blk_chg
[2026-07-10 11:53:14] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:53:14] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
[2026-07-10 11:53:14] INFO     | awr_seg_db_blk_chg_parser | ✅ Inserted 5 rows into awr_seg_db_blk_chg
[2026-07-10 11:53:37] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:53:37] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
[2026-07-10 11:53:37] INFO     | awr_seg_db_blk_chg_parser | ✅ Inserted 5 rows into awr_seg_db_blk_chg
[2026-07-10 11:54:07] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:54:07] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
[2026-07-10 11:54:07] INFO     | awr_seg_db_blk_chg_parser | ✅ Inserted 5 rows into awr_seg_db_blk_chg
[2026-07-10 11:54:17] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:54:17] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
[2026-07-10 11:54:17] INFO     | awr_seg_db_blk_chg_parser | ✅ Inserted 5 rows into awr_seg_db_blk_chg
[2026-07-10 11:54:48] INFO     | awr_seg_db_blk_chg_parser | Found 5 rows in Segments by DB Blocks Changes section
[2026-07-10 11:54:48] INFO     | awr_seg_db_blk_chg_parser | ✅ Parsed 5 Segments by DB Blocks Changes records
