[2026-07-10 11:52:21] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:52:21] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:52:21] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:53:08] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:53:08] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:53:08] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:53:16] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:53:16] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:53:16] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:53:39] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:53:39] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:53:40] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:54:09] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:54:09] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:54:09] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:54:19] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:54:19] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:54:19] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:54:50] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:54:50] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:54:50] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:55:01] INFO     | awr_seg_direct_phy_reads_parser | Found 4 rows in Segments by Direct Physical Reads section
[2026-07-10 11:55:01] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 4 Segments by Direct Physical Reads records
[2026-07-10 11:55:01] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 4 rows into awr_seg_direct_phy_reads
[2026-07-10 11:55:29] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:55:29] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:55:29] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:55:52] INFO     | awr_seg_direct_phy_reads_parser | Found 4 rows in Segments by Direct Physical Reads section
[2026-07-10 11:55:52] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 4 Segments by Direct Physical Reads records
[2026-07-10 11:55:52] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 4 rows into awr_seg_direct_phy_reads
[2026-07-10 11:56:01] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:56:01] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:56:01] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:56:41] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:56:41] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:56:41] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:56:42] INFO     | awr_seg_direct_phy_reads_parser | Found 4 rows in Segments by Direct Physical Reads section
[2026-07-10 11:56:42] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 4 Segments by Direct Physical Reads records
[2026-07-10 11:56:42] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 4 rows into awr_seg_direct_phy_reads
[2026-07-10 11:57:16] INFO     | awr_seg_direct_phy_reads_parser | Found 4 rows in Segments by Direct Physical Reads section
[2026-07-10 11:57:16] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 4 Segments by Direct Physical Reads records
[2026-07-10 11:57:16] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 4 rows into awr_seg_direct_phy_reads
[2026-07-10 11:57:33] INFO     | awr_seg_direct_phy_reads_parser | Found 2 rows in Segments by Direct Physical Reads section
[2026-07-10 11:57:33] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 2 Segments by Direct Physical Reads records
[2026-07-10 11:57:33] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_reads
[2026-07-10 11:57:55] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:57:55] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:57:55] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:58:19] INFO     | awr_seg_direct_phy_reads_parser | Found 2 rows in Segments by Direct Physical Reads section
[2026-07-10 11:58:19] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 2 Segments by Direct Physical Reads records
[2026-07-10 11:58:19] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_reads
