[2026-07-10 11:52:23] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:52:23] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:52:23] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 11:53:10] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:53:10] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:53:10] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:53:17] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:53:17] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:53:17] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 11:53:42] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:53:42] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:53:42] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 11:54:11] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:54:11] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:54:11] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 11:54:21] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:54:21] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:54:21] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:54:52] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:54:52] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:54:52] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 11:55:03] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:55:03] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:55:03] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:55:32] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:55:32] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:55:32] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:55:54] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:55:54] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:55:54] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:56:03] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:56:03] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:56:04] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 11:56:43] INFO     | awr_seg_direct_phy_writes_parser | Found 1 rows in Segments by Direct Physical Writes section
[2026-07-10 11:56:43] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 1 Segments by Direct Physical Writes records
[2026-07-10 11:56:43] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 1 rows into awr_seg_direct_phy_writes
[2026-07-10 11:56:44] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:56:44] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:56:44] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:57:19] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:57:19] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:57:19] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:57:34] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:57:34] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:57:34] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:57:58] INFO     | awr_seg_direct_phy_writes_parser | Found 1 rows in Segments by Direct Physical Writes section
[2026-07-10 11:57:58] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 1 Segments by Direct Physical Writes records
[2026-07-10 11:57:58] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 1 rows into awr_seg_direct_phy_writes
[2026-07-10 11:58:21] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:58:21] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:58:21] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:58:33] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:58:33] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:58:33] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:59:08] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:59:08] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:59:08] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:59:10] INFO     | awr_seg_direct_phy_writes_parser | Found 1 rows in Segments by Direct Physical Writes section
[2026-07-10 11:59:10] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 1 Segments by Direct Physical Writes records
[2026-07-10 11:59:10] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 1 rows into awr_seg_direct_phy_writes
[2026-07-10 11:59:46] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 11:59:46] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 11:59:46] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 11:59:56] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 11:59:56] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 11:59:56] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:00:22] INFO     | awr_seg_direct_phy_writes_parser | Found 1 rows in Segments by Direct Physical Writes section
[2026-07-10 12:00:22] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 1 Segments by Direct Physical Writes records
[2026-07-10 12:00:22] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 1 rows into awr_seg_direct_phy_writes
[2026-07-10 12:00:46] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:00:46] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:00:46] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:00:54] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:00:54] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:00:54] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:01:29] INFO     | awr_seg_direct_phy_writes_parser | Found 1 rows in Segments by Direct Physical Writes section
[2026-07-10 12:01:29] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 1 Segments by Direct Physical Writes records
[2026-07-10 12:01:29] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 1 rows into awr_seg_direct_phy_writes
[2026-07-10 12:01:38] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:01:38] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:01:38] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:02:01] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:02:01] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:02:01] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:02:29] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 12:02:29] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 12:02:29] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 12:02:38] INFO     | awr_seg_direct_phy_writes_parser | Found 1 rows in Segments by Direct Physical Writes section
[2026-07-10 12:02:38] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 1 Segments by Direct Physical Writes records
[2026-07-10 12:02:38] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 1 rows into awr_seg_direct_phy_writes
[2026-07-10 12:03:08] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:03:08] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:03:08] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:03:17] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 12:03:17] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 12:03:17] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 12:03:49] INFO     | awr_seg_direct_phy_writes_parser | Found 3 rows in Segments by Direct Physical Writes section
[2026-07-10 12:03:49] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 3 Segments by Direct Physical Writes records
[2026-07-10 12:03:49] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 3 rows into awr_seg_direct_phy_writes
[2026-07-10 12:04:05] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 12:04:05] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 12:04:05] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 12:04:18] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:04:18] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:04:18] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:04:57] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:04:57] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:04:57] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:05:01] INFO     | awr_seg_direct_phy_writes_parser | Found 3 rows in Segments by Direct Physical Writes section
[2026-07-10 12:05:01] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 3 Segments by Direct Physical Writes records
[2026-07-10 12:05:01] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 3 rows into awr_seg_direct_phy_writes
[2026-07-10 12:05:31] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:05:31] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:05:31] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:05:52] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:05:52] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:05:52] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:06:13] INFO     | awr_seg_direct_phy_writes_parser | Found 3 rows in Segments by Direct Physical Writes section
[2026-07-10 12:06:13] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 3 Segments by Direct Physical Writes records
[2026-07-10 12:06:13] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 3 rows into awr_seg_direct_phy_writes
[2026-07-10 12:06:43] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:06:43] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:06:43] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:06:47] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
[2026-07-10 12:06:47] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 5 Segments by Direct Physical Writes records
[2026-07-10 12:06:47] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_writes
[2026-07-10 12:07:21] INFO     | awr_seg_direct_phy_writes_parser | Found 2 rows in Segments by Direct Physical Writes section
[2026-07-10 12:07:21] INFO     | awr_seg_direct_phy_writes_parser | ✅ Parsed 2 Segments by Direct Physical Writes records
[2026-07-10 12:07:21] INFO     | awr_seg_direct_phy_writes_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_writes
[2026-07-10 12:07:53] INFO     | awr_seg_direct_phy_writes_parser | Found 5 rows in Segments by Direct Physical Writes section
