[2026-07-10 11:52:25] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:52:25] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:53:12] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:53:12] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:53:19] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:53:19] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:53:44] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 11:53:44] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 11:53:44] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:54:13] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:54:13] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:54:24] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:54:24] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:54:55] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 11:54:55] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 11:54:55] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:55:05] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:55:05] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:55:34] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:55:34] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:55:55] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:55:55] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:56:06] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 11:56:06] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 11:56:06] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:56:45] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:56:45] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:56:46] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:56:46] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:57:21] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 11:57:21] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 11:57:21] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:57:36] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:57:36] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:58:00] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:58:00] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:58:22] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:58:22] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:58:35] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 11:58:35] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 11:58:35] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:59:09] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:59:09] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:59:12] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:59:12] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:59:49] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 11:59:49] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 11:59:49] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 11:59:57] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 11:59:57] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:00:23] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:00:23] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:00:48] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:00:48] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:00:56] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 12:00:56] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 12:00:56] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:01:32] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:01:32] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:01:40] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:01:40] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:02:03] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 12:02:03] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 12:02:03] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:02:31] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:02:31] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:02:41] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:02:41] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:03:11] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 12:03:11] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 12:03:11] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:03:19] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:03:19] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:03:51] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:03:51] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:04:07] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:04:07] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:04:20] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 12:04:20] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 12:04:20] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:04:59] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:04:59] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:05:03] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:05:03] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:05:33] INFO     | awr_seg_gbl_cache_buff_busy_parser | Found 5 rows in Segments by Global Cache Buffer Busy section
[2026-07-10 12:05:33] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Parsed 5 Segments by Global Cache Buffer Busy records
[2026-07-10 12:05:33] INFO     | awr_seg_gbl_cache_buff_busy_parser | ✅ Inserted 5 rows into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:05:54] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-10 12:05:54] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-10 12:06:15] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
