[2026-07-10 11:52:27] INFO     | awr_seg_itl_waits_parser | Found 4 rows in Segments by ITL Waits section
[2026-07-10 11:52:27] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 4 Segments by ITL Waits records
[2026-07-10 11:52:27] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 4 rows into awr_seg_itl_waits
[2026-07-10 11:53:15] INFO     | awr_seg_itl_waits_parser | Found 3 rows in Segments by ITL Waits section
[2026-07-10 11:53:15] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 3 Segments by ITL Waits records
[2026-07-10 11:53:15] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 3 rows into awr_seg_itl_waits
[2026-07-10 11:53:21] INFO     | awr_seg_itl_waits_parser | Found 4 rows in Segments by ITL Waits section
[2026-07-10 11:53:21] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 4 Segments by ITL Waits records
[2026-07-10 11:53:21] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 4 rows into awr_seg_itl_waits
[2026-07-10 11:53:46] INFO     | awr_seg_itl_waits_parser | Found 5 rows in Segments by ITL Waits section
[2026-07-10 11:53:46] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 5 Segments by ITL Waits records
[2026-07-10 11:53:46] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 5 rows into awr_seg_itl_waits
[2026-07-10 11:54:15] INFO     | awr_seg_itl_waits_parser | Found 4 rows in Segments by ITL Waits section
[2026-07-10 11:54:15] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 4 Segments by ITL Waits records
[2026-07-10 11:54:15] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 4 rows into awr_seg_itl_waits
[2026-07-10 11:54:26] INFO     | awr_seg_itl_waits_parser | Found 3 rows in Segments by ITL Waits section
[2026-07-10 11:54:26] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 3 Segments by ITL Waits records
[2026-07-10 11:54:26] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 3 rows into awr_seg_itl_waits
[2026-07-10 11:54:57] INFO     | awr_seg_itl_waits_parser | Found 5 rows in Segments by ITL Waits section
[2026-07-10 11:54:57] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 5 Segments by ITL Waits records
[2026-07-10 11:54:57] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 5 rows into awr_seg_itl_waits
[2026-07-10 11:55:06] INFO     | awr_seg_itl_waits_parser | Found 1 rows in Segments by ITL Waits section
[2026-07-10 11:55:06] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 1 Segments by ITL Waits records
[2026-07-10 11:55:06] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 1 rows into awr_seg_itl_waits
[2026-07-10 11:55:36] INFO     | awr_seg_itl_waits_parser | Found 3 rows in Segments by ITL Waits section
[2026-07-10 11:55:36] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 3 Segments by ITL Waits records
[2026-07-10 11:55:36] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 3 rows into awr_seg_itl_waits
[2026-07-10 11:55:57] INFO     | awr_seg_itl_waits_parser | Found 1 rows in Segments by ITL Waits section
[2026-07-10 11:55:57] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 1 Segments by ITL Waits records
[2026-07-10 11:55:57] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 1 rows into awr_seg_itl_waits
[2026-07-10 11:56:08] INFO     | awr_seg_itl_waits_parser | Found 5 rows in Segments by ITL Waits section
[2026-07-10 11:56:08] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 5 Segments by ITL Waits records
[2026-07-10 11:56:08] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 5 rows into awr_seg_itl_waits
[2026-07-10 11:56:47] INFO     | awr_seg_itl_waits_parser | Found 1 rows in Segments by ITL Waits section
[2026-07-10 11:56:47] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 1 Segments by ITL Waits records
[2026-07-10 11:56:47] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 1 rows into awr_seg_itl_waits
[2026-07-10 11:56:48] INFO     | awr_seg_itl_waits_parser | Found 2 rows in Segments by ITL Waits section
[2026-07-10 11:56:48] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 2 Segments by ITL Waits records
[2026-07-10 11:56:48] INFO     | awr_seg_itl_waits_parser | ✅ Inserted 2 rows into awr_seg_itl_waits
[2026-07-10 11:57:23] INFO     | awr_seg_itl_waits_parser | Found 5 rows in Segments by ITL Waits section
[2026-07-10 11:57:23] INFO     | awr_seg_itl_waits_parser | ✅ Parsed 5 Segments by ITL Waits records
