[2026-07-10 11:52:30] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:52:31] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:52:31] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:53:19] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:53:19] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:53:19] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:53:25] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:53:25] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:53:25] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:53:51] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:53:51] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:53:51] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:54:18] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:54:18] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:54:18] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:54:30] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:54:30] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:54:30] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:55:01] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:55:01] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:55:02] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:55:10] INFO     | awr_seg_opt_reads_parser | Found 4 rows in Segments by Optimized Reads section
[2026-07-10 11:55:10] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 4 Segments by Optimized Reads records
[2026-07-10 11:55:10] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 4 rows into awr_seg_opt_reads
[2026-07-10 11:55:41] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:55:41] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
[2026-07-10 11:55:41] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 5 rows into awr_seg_opt_reads
[2026-07-10 11:56:00] INFO     | awr_seg_opt_reads_parser | Found 4 rows in Segments by Optimized Reads section
[2026-07-10 11:56:00] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 4 Segments by Optimized Reads records
[2026-07-10 11:56:00] INFO     | awr_seg_opt_reads_parser | ✅ Inserted 4 rows into awr_seg_opt_reads
[2026-07-10 11:56:13] INFO     | awr_seg_opt_reads_parser | Found 5 rows in Segments by Optimized Reads section
[2026-07-10 11:56:13] INFO     | awr_seg_opt_reads_parser | ✅ Parsed 5 Segments by Optimized Reads records
