[2026-07-10 11:52:34] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:52:34] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:52:34] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:53:24] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:53:24] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:53:24] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:53:28] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:53:28] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:53:28] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:53:55] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:53:55] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:53:55] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:54:22] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:54:22] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:54:22] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:54:35] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:54:35] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:54:35] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:55:06] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:55:06] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:55:06] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:55:13] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:55:13] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:55:13] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
[2026-07-10 11:55:46] INFO     | awr_seg_phy_write_req_parser | Found 5 rows in Segments by Physical Write Requests section
[2026-07-10 11:55:46] INFO     | awr_seg_phy_write_req_parser | ✅ Parsed 5 Segments by Physical Write Requests records
[2026-07-10 11:55:46] INFO     | awr_seg_phy_write_req_parser | ✅ Inserted 5 rows into awr_seg_phy_write_req
