[2026-07-10 11:52:36] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:52:36] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:52:36] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:53:26] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:53:26] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:53:26] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:53:30] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:53:30] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:53:30] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:53:58] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:53:58] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:53:58] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:54:23] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:54:23] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:54:23] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:54:37] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:54:37] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:54:37] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:55:08] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:55:08] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:55:08] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:55:15] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:55:15] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:55:15] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:55:48] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:55:48] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:55:48] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:56:05] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:56:05] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:56:05] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:56:20] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:56:20] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:56:20] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:56:55] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:56:55] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:56:55] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:57:00] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:57:00] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:57:00] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:57:35] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:57:35] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:57:35] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:57:45] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:57:45] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:57:45] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:58:14] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:58:14] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:58:14] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:58:32] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:58:32] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:58:32] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:58:49] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:58:49] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:58:49] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:59:18] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:59:18] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:59:18] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 11:59:26] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 11:59:26] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 11:59:26] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 12:00:03] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 12:00:03] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 12:00:03] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 12:00:08] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 12:00:08] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 12:00:08] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 12:00:36] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 12:00:36] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 12:00:36] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 12:00:58] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 12:00:58] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 12:00:58] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 12:01:10] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 12:01:10] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-10 12:01:10] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-10 12:01:45] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-10 12:01:45] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
