[2026-07-10 11:52:39] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-10 11:52:39] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-10 11:52:40] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-10 11:53:31] INFO     | awr_seg_table_scan_parser | Found 2 rows in Segments by Table Scans section
[2026-07-10 11:53:31] INFO     | awr_seg_table_scan_parser | ✅ Parsed 2 Segments by Table Scans records
[2026-07-10 11:53:31] INFO     | awr_seg_table_scan_parser | ✅ Inserted 2 rows into awr_seg_table_scan
[2026-07-10 11:53:33] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-10 11:53:33] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-10 11:53:33] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-10 11:54:02] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-10 11:54:02] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-10 11:54:02] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-10 11:54:27] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-10 11:54:27] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-10 11:54:27] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-10 11:54:42] INFO     | awr_seg_table_scan_parser | Found 2 rows in Segments by Table Scans section
[2026-07-10 11:54:42] INFO     | awr_seg_table_scan_parser | ✅ Parsed 2 Segments by Table Scans records
[2026-07-10 11:54:42] INFO     | awr_seg_table_scan_parser | ✅ Inserted 2 rows into awr_seg_table_scan
