[2026-07-10 11:52:41] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:52:41] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:52:41] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:53:33] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:53:33] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:53:33] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:53:35] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:53:35] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:53:35] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:54:05] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:54:05] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:54:05] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:54:28] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:54:28] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:54:28] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:54:44] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:54:44] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:54:44] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:55:15] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:55:15] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:55:16] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:55:20] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-10 11:55:20] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-10 11:55:20] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-10 11:55:55] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
