[2026-07-10 11:52:59] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-10 11:52:59] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-10 11:53:52] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-10 11:53:52] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-10 11:53:55] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 11:53:55] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 11:54:26] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 11:54:26] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 11:54:45] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-10 11:54:45] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-10 11:55:06] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 11:55:06] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 11:55:35] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 9 IOStat by Filetype summary records.
[2026-07-10 11:55:36] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 9 rows into awr_iostat_filetype
[2026-07-10 11:55:37] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 11:55:38] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 11:56:17] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 11:56:17] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 11:56:26] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 9 IOStat by Filetype summary records.
[2026-07-10 11:56:26] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 9 rows into awr_iostat_filetype
[2026-07-10 11:56:49] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 11:56:49] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 11:57:16] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 9 IOStat by Filetype summary records.
[2026-07-10 11:57:16] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 9 rows into awr_iostat_filetype
[2026-07-10 11:57:29] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 11:57:30] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 11:58:04] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-10 11:58:04] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-10 11:58:05] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 11:58:05] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 11:58:44] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 11:58:44] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 11:58:51] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-10 11:58:51] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-10 11:59:18] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 11:59:18] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 11:59:37] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-10 11:59:37] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-10 11:59:56] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 11:59:56] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:00:28] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:00:28] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:00:30] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:00:30] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:01:04] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:01:04] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:01:20] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:01:20] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:01:37] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:01:37] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:02:11] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:02:11] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:02:14] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:02:14] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:02:44] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:02:44] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:03:00] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:03:00] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:03:23] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:03:23] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:03:48] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:03:49] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:03:52] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:03:52] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:04:34] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 5 IOStat by Filetype summary records.
[2026-07-10 12:04:34] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 5 rows into awr_iostat_filetype
[2026-07-10 12:04:36] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-10 12:04:37] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-10 12:05:04] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
