[2026-07-10 11:53:01] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 11:53:01] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 11:53:54] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 11:53:54] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 11:53:57] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 11:53:57] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 11:54:28] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 11:54:28] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 11:54:47] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 11:54:47] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 11:55:08] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 11:55:08] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 11:55:37] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 11:55:37] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 11:55:40] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 11:55:40] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 11:56:20] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 11:56:20] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 11:56:28] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 11:56:28] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 11:56:51] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 24 IOStat by Function/Filetype summary records.
[2026-07-10 11:56:52] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 24 rows into awr_iostat_func_filetype
[2026-07-10 11:57:18] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 11:57:18] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 11:57:32] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 11:57:32] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 11:58:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 11:58:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 11:58:07] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 11:58:07] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 11:58:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 11:58:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 11:58:52] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 11:58:52] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 11:59:21] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 11:59:21] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 11:59:39] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 11:59:39] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 11:59:58] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 11:59:58] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 12:00:29] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:00:30] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:00:32] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 12:00:32] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 12:01:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:01:07] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:01:21] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:01:21] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:01:39] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:01:39] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
