[2026-07-10 11:53:02] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 11:53:02] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 11:53:55] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 11:53:56] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 11:54:00] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 11:54:00] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 11:54:31] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 11:54:31] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 11:54:48] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 11:54:48] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 11:55:11] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 11:55:11] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 11:55:39] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 11:55:39] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 11:55:42] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 11:55:42] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 11:56:22] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 11:56:22] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 11:56:30] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 11:56:30] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 11:56:54] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 11:56:54] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
