[2026-07-10 11:53:06] INFO     | io_stat_tablespaces_parser | Found 7 rows in Tablespace IO Stats section
[2026-07-10 11:53:06] INFO     | io_stat_tablespaces_parser | ✅ Parsed 7 Tablespace IO Stats records
[2026-07-10 11:53:06] INFO     | io_stat_tablespaces_parser | ✅ Inserted 7 rows into awr_tablespace_io_stats
[2026-07-10 11:53:59] INFO     | io_stat_tablespaces_parser | Found 7 rows in Tablespace IO Stats section
[2026-07-10 11:53:59] INFO     | io_stat_tablespaces_parser | ✅ Parsed 7 Tablespace IO Stats records
[2026-07-10 11:53:59] INFO     | io_stat_tablespaces_parser | ✅ Inserted 7 rows into awr_tablespace_io_stats
[2026-07-10 11:54:04] INFO     | io_stat_tablespaces_parser | Found 4 rows in Tablespace IO Stats section
[2026-07-10 11:54:04] INFO     | io_stat_tablespaces_parser | ✅ Parsed 4 Tablespace IO Stats records
[2026-07-10 11:54:04] INFO     | io_stat_tablespaces_parser | ✅ Inserted 4 rows into awr_tablespace_io_stats
[2026-07-10 11:54:35] INFO     | io_stat_tablespaces_parser | Found 1 rows in Tablespace IO Stats section
[2026-07-10 11:54:35] INFO     | io_stat_tablespaces_parser | ✅ Parsed 1 Tablespace IO Stats records
[2026-07-10 11:54:35] INFO     | io_stat_tablespaces_parser | ✅ Inserted 1 rows into awr_tablespace_io_stats
[2026-07-10 11:54:52] INFO     | io_stat_tablespaces_parser | Found 7 rows in Tablespace IO Stats section
[2026-07-10 11:54:52] INFO     | io_stat_tablespaces_parser | ✅ Parsed 7 Tablespace IO Stats records
[2026-07-10 11:54:52] INFO     | io_stat_tablespaces_parser | ✅ Inserted 7 rows into awr_tablespace_io_stats
[2026-07-10 11:55:15] INFO     | io_stat_tablespaces_parser | Found 4 rows in Tablespace IO Stats section
[2026-07-10 11:55:15] INFO     | io_stat_tablespaces_parser | ✅ Parsed 4 Tablespace IO Stats records
[2026-07-10 11:55:15] INFO     | io_stat_tablespaces_parser | ✅ Inserted 4 rows into awr_tablespace_io_stats
[2026-07-10 11:55:43] INFO     | io_stat_tablespaces_parser | Found 7 rows in Tablespace IO Stats section
[2026-07-10 11:55:43] INFO     | io_stat_tablespaces_parser | ✅ Parsed 7 Tablespace IO Stats records
[2026-07-10 11:55:43] INFO     | io_stat_tablespaces_parser | ✅ Inserted 7 rows into awr_tablespace_io_stats
[2026-07-10 11:55:47] INFO     | io_stat_tablespaces_parser | Found 1 rows in Tablespace IO Stats section
[2026-07-10 11:55:47] INFO     | io_stat_tablespaces_parser | ✅ Parsed 1 Tablespace IO Stats records
