[2026-07-02 21:58:14] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-02 21:58:14] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-02 21:58:14] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-02 21:58:14] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-02 22:02:04] INFO     | watcher | Queued: 10_1.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 10_2.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 11_1.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 11_2.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 12_1.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 12_2.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 9_1.html -> ONE_LMS
[2026-07-02 22:02:04] INFO     | watcher | Queued: 9_2.html -> ONE_LMS
[2026-07-03 12:29:58] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-03 12:29:58] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-03 12:29:58] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-03 12:29:58] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-03 12:30:48] INFO     | watcher | Queued: awr_COLDBPRD_1_221212_0030_0130.html -> COLDBPRD
[2026-07-03 12:30:48] INFO     | watcher | Queued: awr_COLDBPRD_1_221212_0130_0230.html -> COLDBPRD
[2026-07-03 12:30:48] INFO     | watcher | Queued: awr_COLDBPRD_1_221212_0230_0330.html -> COLDBPRD
[2026-07-03 12:30:58] INFO     | watcher | Queued: awr_DMSDB_1_240116_0000_0030.html -> DMS
[2026-07-03 12:30:58] INFO     | watcher | Queued: awr_DMSDB_1_240116_0100_0130.html -> DMS
[2026-07-03 12:30:58] INFO     | watcher | Queued: awr_DMSDB_1_240116_0200_0230.html -> DMS
[2026-07-03 12:31:08] INFO     | watcher | Queued: awrrpt_1_39713_39714.html -> GTWPRD
[2026-07-03 12:31:08] INFO     | watcher | Queued: awrrpt_1_39714_39715.html -> GTWPRD
[2026-07-03 12:31:08] INFO     | watcher | Queued: awrrpt_1_39715_39716.html -> GTWPRD
[2026-07-03 12:31:18] INFO     | watcher | Queued: AWR_JRVSDB1_16DEC20_0000_16DEC20_0030.html -> JRVSDB
[2026-07-03 12:31:18] INFO     | watcher | Queued: AWR_JRVSDB1_16DEC20_0030_16DEC20_0100.html -> JRVSDB
[2026-07-03 12:31:18] INFO     | watcher | Queued: AWR_JRVSDB1_16DEC20_0100_16DEC20_0130.html -> JRVSDB
[2026-07-03 12:31:28] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0000_0030.html -> NEODBPRD
[2026-07-03 12:31:28] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0030_0100.html -> NEODBPRD
[2026-07-03 12:31:28] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0100_0130.html -> NEODBPRD
[2026-07-03 12:31:38] INFO     | watcher | Queued: 10_1.html -> ONE_LMS
[2026-07-03 12:31:38] INFO     | watcher | Queued: 11_1.html -> ONE_LMS
[2026-07-03 12:31:38] INFO     | watcher | Queued: 12_1.html -> ONE_LMS
[2026-07-03 12:31:38] INFO     | watcher | Queued: 9_1.html -> ONE_LMS
[2026-07-03 12:31:48] INFO     | watcher | Queued: fed_awr_1_61679_61680.html -> PAYMENTS
[2026-07-03 12:31:48] INFO     | watcher | Queued: fed_awr_1_61680_61681.html -> PAYMENTS
[2026-07-03 12:31:48] INFO     | watcher | Queued: fed_awr_1_61681_61682.html -> PAYMENTS
[2026-07-03 14:02:29] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-03 14:02:29] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-03 14:02:29] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-03 14:02:29] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-03 14:23:30] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-03 14:23:30] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-03 14:23:30] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-03 14:23:30] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0130_0200.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0200_0230.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0300_0330.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0330_0400.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0400_0430.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0430_0500.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0500_0530.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0530_0600.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0600_0630.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0630_0700.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0700_0730.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0730_0800.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0800_0830.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0830_0900.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0900_0930.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_0930_1000.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1000_1030.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1030_1100.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1100_1130.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1130_1200.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1200_1230.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1230_1300.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1300_1330.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1330_1400.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1400_1430.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1430_1500.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1500_1530.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1530_1600.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1600_1630.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1630_1700.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1700_1730.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1730_1800.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1800_1830.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1830_1900.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1900_1930.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_1930_2000.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_2000_2030.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_2030_2100.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_2100_2130.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_2130_2200.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_2200_2230.html -> NEODBPRD
[2026-07-03 15:37:56] INFO     | watcher | Queued: awr_neodbprd_1_1_240221_2230_2300.html -> NEODBPRD
