NAME,WAIT_CLASS
ASM COD rollback operation completion,Administrative
ASM mount : wait for heartbeat,Administrative
JS kgl get object wait,Administrative
JS kill job wait,Administrative
JS coord start wait,Administrative
Backup: MML initialization,Administrative
Backup: MML v1 open backup piece,Administrative
Backup: MML v1 read backup piece,Administrative
Backup: MML v1 write backup piece,Administrative
Backup: MML v1 close backup piece,Administrative
Backup: MML v1 query backup piece,Administrative
Backup: MML v1 delete backup piece,Administrative
Backup: MML create a backup piece,Administrative
Backup: MML commit backup piece,Administrative
Backup: MML command to channel,Administrative
Backup: MML shutdown,Administrative
Backup: MML obtain textual error,Administrative
Backup: MML query backup piece,Administrative
Backup: MML extended initialization,Administrative
Backup: MML read backup piece,Administrative
Backup: MML delete backup piece,Administrative
Backup: MML restore backup piece,Administrative
Backup: MML write backup piece,Administrative
Backup: MML proxy initialize backup,Administrative
Backup: MML proxy cancel,Administrative
Backup: MML proxy commit backup piece,Administrative
Backup: MML proxy session end,Administrative
Backup: MML datafile proxy backup?,Administrative
Backup: MML datafile proxy restore?,Administrative
Backup: MML proxy initialize restore,Administrative
Backup: MML proxy start data movement,Administrative
Backup: MML data movement done?,Administrative
Backup: MML proxy prepare to start,Administrative
Backup: MML obtain a direct buffer,Administrative
Backup: MML release a direct buffer,Administrative
Backup: MML get base address,Administrative
Backup: MML query for direct buffers,Administrative
OFS operation completion,Administrative
BA: Performance API,Administrative
control file backup creation,Administrative
multiple dbwriter suspend/resume for file offline,Administrative
db flash cache dynamic disabling wait,Administrative
switch logfile command,Administrative
enq: MV - datafile move,Administrative
datafile pre-create,Administrative
wait for possible quiesce finish,Administrative
concurrent I/O completion,Administrative
datafile copy range completion,Administrative
switch undo - offline,Administrative
alter rbs offline,Administrative
enq: TW - contention,Administrative
index (re)build online start,Administrative
index (re)build online cleanup,Administrative
index (re)build online merge,Administrative
index (re)build lock or pin object,Administrative
alter system set dispatcher,Administrative
connection pool wait,Administrative
enq: DB - contention,Administrative
enq: ZG - contention,Administrative
SQL*Net break/reset to client,Application
REPL Apply: apply DDL,Application
External Procedure initial connection,Application
External Procedure call,Application
