[2026-07-07 15:29:17] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-07 15:29:17] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-07 15:29:17] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-07 15:29:17] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-07 15:32:04] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-07 15:32:04] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-07 15:32:04] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-07 15:32:04] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-07 16:36:56] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-07 16:36:56] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-07 16:36:56] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-07 16:36:56] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-07 16:44:25] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-07 16:44:25] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-07 16:44:25] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-07 16:44:25] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-07 17:34:56] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-07 17:34:56] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-07 17:34:56] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-07 17:34:56] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-08 11:17:08] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-08 11:17:08] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-08 11:17:08] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-08 11:17:08] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-08 12:14:34] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-08 12:14:34] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-08 12:14:34] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-08 12:14:34] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
[2026-07-08 12:15:51] INFO     | watcher | Watcher started — monitoring AWR reports
[2026-07-08 12:15:51] INFO     | watcher |   Watch dir : C:\AWR_Insight_Portal_v2\awr_reports
[2026-07-08 12:15:51] INFO     | watcher |   Queue dir : C:\AWR_Insight_Portal_v2\queues
[2026-07-08 12:15:51] INFO     | watcher |   Layout    : C:\AWR_Insight_Portal_v2\awr_reports\<DBNAME>\awr_*.html
